CO,NO2,O3,SO2,PM2.5,PM10,city,overall_aqi
403.88,17.99,39.7,1.22,15.04,17.96,Centreville,48
233.65,4.93,97.28,2.03,5.53,24.54,Miramar,155
353.81,32.9,27.9,4.71,6.27,8.19,Evanston,41
226.97,7.71,50.78,0.04,0.7,3.11,Surprise,43
196.93,0.8,72.96,0.04,1.13,5.08,Las Cruces,93
283.72,13.37,30.4,3.07,4.33,5.7,Merced,25
236.99,6.86,72.24,2.41,4.17,8.28,League City,91
260.35,7.71,65.09,1.55,2.42,4.11,Upland,69
330.45,13.2,49.35,1.15,8.4,9.86,Richmond,41
267.03,4.07,67.95,0.6,2.0,3.11,Orange,77
587.46,19.02,1.81,5.25,15.33,18.1,Elk Grove,49
226.97,1.02,89.41,0.24,2.84,12.24,Poinciana,136
257.02,11.82,57.94,1.54,1.79,5.31,Alhambra,49
233.65,8.74,50.07,0.05,0.71,2.83,Avondale,42
403.88,27.42,42.2,5.25,19.2,21.54,Brooklyn Park,57
226.97,1.74,77.96,0.42,2.01,3.64,Harlingen,107
413.9,20.05,53.64,1.04,11.53,18.99,Lakewood,45
367.17,18.85,22.89,1.49,8.3,8.82,Norman,26
313.76,11.82,55.79,1.33,4.53,5.59,Hartford,47
614.17,51.41,9.66,12.4,14.58,18.89,Livonia,64
273.71,5.83,21.28,0.1,2.1,2.46,Plano,18
467.3,40.1,11.44,8.46,18.89,24.34,Corona,56
250.34,3.47,57.94,0.28,3.3,3.65,Franklin,49
343.8,21.08,13.05,2.56,3.98,5.09,Gresham,26
273.71,5.14,41.49,1.13,6.01,11.71,Pueblo,35
387.19,18.68,36.48,0.69,8.98,10.41,Youngs,30
460.63,40.78,19.13,7.45,9.16,11.77,Hammond,50
620.84,56.21,26.46,17.88,29.27,38.24,Mission Viejo,77
211.95,0.71,76.53,0.09,0.86,4.82,Victorville,103
297.07,10.71,57.94,2.15,4.84,8.64,Saint Cloud,49
807.76,54.84,12.16,15.74,43.51,54.4,Fullerton,106
247.0,1.31,45.06,0.05,1.78,2.27,San Angelo,38
400.54,29.82,33.98,2.65,10.99,14.72,Passaic,37
267.03,13.02,45.78,2.18,4.46,5.45,Conroe,38
247.0,6.77,35.05,4.05,1.55,1.86,Shreveport,29
260.35,10.97,66.52,3.25,4.85,9.06,Houston,73
587.46,19.02,1.81,5.25,15.33,18.1,Rancho Cordova,49
240.33,2.29,71.53,3.55,3.78,4.83,Pharr,89
373.84,27.76,30.4,3.73,5.56,9.12,Salt Lake City,34
1001.36,59.63,29.68,8.11,46.06,54.64,Denver,111
1815.8,105.56,9.74,15.5,78.01,103.35,Compton,157
247.0,5.66,57.22,0.6,3.08,3.42,Bryan,48
473.98,35.64,18.42,4.95,10.19,13.45,Naperville,44
226.97,2.74,91.55,0.72,4.29,18.79,Lehigh Acres,141
343.8,29.47,17.7,0.6,16.3,20.85,Toledo,51
1815.8,105.56,9.74,15.5,78.01,103.35,South Gate,157
423.91,15.59,41.13,0.69,10.85,13.53,Provo,35
303.75,9.68,59.37,0.98,5.14,5.64,Waterbury,51
313.76,14.05,42.56,2.8,7.4,9.86,Atlanta,36
1815.8,105.56,9.74,15.5,78.01,103.35,Hawthorne,157
287.06,4.33,42.92,0.11,3.71,4.08,Edmond,36
226.97,1.69,66.52,0.01,0.5,1.24,Simi Valley,73
240.33,12.0,62.23,4.83,4.06,6.78,Atascocita,60
223.64,1.91,95.84,0.72,4.01,20.26,Boca Raton,152
195.27,0.05,73.67,0.16,2.3,12.73,Caguas,95
340.46,13.54,41.84,0.86,7.96,9.64,Roanoke,35
373.84,27.76,30.4,3.73,5.56,9.12,West Jordan,34
297.07,7.63,48.64,0.57,4.42,4.58,Champaign,41
233.65,2.79,65.8,0.86,2.88,6.55,Montgomery,71
240.33,4.71,87.26,0.81,3.44,10.84,Town 'n' Country,130
250.34,7.03,46.49,0.78,1.04,3.56,Chandler,39
343.8,14.57,38.27,1.01,6.19,6.6,Grand Rapids,32
226.97,1.08,75.1,0.22,2.69,7.68,Enterprise,100
347.14,13.37,35.76,3.25,11.45,13.37,Oshkosh,37
250.34,4.97,18.6,0.95,2.86,4.2,New Braunfels,15
307.08,16.28,33.26,2.68,6.56,9.22,Perris,28
260.35,7.71,65.09,1.55,2.42,4.11,Ontario,69
287.06,5.01,65.09,0.65,1.51,1.9,Worcester,69
363.83,25.36,18.42,5.72,6.11,11.34,Pleasanton,31
323.77,12.85,64.37,2.03,2.86,4.09,Somerville,66
273.71,6.6,60.08,0.72,4.09,4.3,Muncie,53
283.72,10.71,35.41,2.95,2.27,5.06,Berkeley,30
297.07,11.48,50.78,1.88,8.25,10.36,Sandy Springs,43
1441.96,106.93,15.56,15.74,87.92,102.82,Silver Spring,163
540.73,58.95,10.82,7.33,13.23,15.56,Arlington Heights,73
223.64,3.9,65.09,1.79,3.94,6.68,Lake Charles,69
383.85,10.63,7.87,1.03,6.6,10.16,Citrus Heights,21
303.75,8.48,67.95,1.55,1.89,2.57,Lynn,77
203.61,0.79,72.96,0.4,0.77,4.44,El Paso,93
467.3,40.1,11.44,8.46,18.89,24.34,Riverside,56
413.9,28.45,37.91,6.8,21.0,23.64,Maple Grove,61
247.0,3.47,35.41,0.23,0.72,0.87,Redding,30
327.11,13.71,60.08,2.74,6.31,7.5,Bridgeport,53
841.14,80.2,16.09,30.99,52.86,64.17,Garden Grove,124
333.79,7.88,35.76,0.98,13.66,15.03,Sioux City,44
233.65,1.89,64.37,0.31,0.99,2.43,Salinas,66
223.64,1.36,94.41,0.5,3.86,19.85,West Palm Beach,148
257.02,4.37,52.93,0.44,3.33,3.49,Clarksville,44
220.3,0.86,47.92,0.03,0.5,0.7,Santa Barbara,40
403.88,19.71,5.5,1.97,6.6,7.7,Arlington,24
467.3,40.1,11.44,8.46,18.89,24.34,Jurupa Valley,56
487.33,25.36,7.06,2.47,7.62,8.64,Victoria,31
260.35,8.4,39.7,1.01,1.97,2.66,Austin,33
226.97,2.83,92.98,0.25,1.98,5.64,Deltona,144
323.77,13.02,59.37,2.74,6.3,7.59,Danbury,51
373.84,17.65,8.05,1.37,6.8,7.68,Fort Worth,22
293.73,10.71,18.95,1.54,2.42,3.44,Portland,16
226.97,1.14,65.8,0.23,0.63,1.1,South San Francisco,71
440.6,34.62,20.56,2.44,10.54,13.91,Saint Louis,43
270.37,9.25,62.23,1.31,2.33,5.04,San Bernardino,60
233.65,4.93,97.28,2.03,5.53,24.54,Hialeah,155
2162.93,100.08,6.35,17.88,96.33,123.21,Whittier,168
273.71,5.44,53.64,0.86,4.04,4.85,Columbia,45
273.71,4.41,32.9,0.09,5.91,6.08,Wichita Falls,27
303.75,18.17,27.18,3.61,4.27,7.16,Livermore,23
397.21,26.05,37.19,6.2,20.99,24.14,Apple Valley,61
243.66,2.53,72.96,0.59,3.31,7.68,Billings,93
303.75,14.22,28.97,1.71,2.32,3.61,Everett,24
283.72,12.0,50.07,2.95,2.2,3.92,Alameda,42
273.71,5.31,72.96,1.03,4.58,5.86,Chesapeake,93
333.79,14.4,55.79,2.06,6.3,7.9,Norwalk,47
1068.12,76.77,9.12,25.99,57.63,67.23,Camden,134
343.8,13.2,36.48,2.3,12.09,14.49,Appleton,39
208.62,0.71,64.37,0.05,1.22,6.23,North Las Vegas,66
297.07,7.03,65.8,0.88,1.61,2.13,Lowell,71
247.0,7.54,72.24,3.55,4.51,8.53,Missouri City,91
514.03,54.84,25.39,9.54,21.86,24.66,Pittsburg,68
195.27,0.05,73.67,0.16,2.3,12.73,Bayamón,95
287.06,8.57,47.21,0.42,4.16,9.27,Albuquerque,40
280.38,7.03,48.64,1.25,4.3,4.52,Evansville,41
290.39,7.71,20.03,0.11,4.21,4.49,Flower Mound,16
310.42,6.08,52.93,2.92,13.5,14.43,Fargo,44
300.41,7.11,65.8,0.77,1.73,2.32,Framingham,71
974.66,61.69,2.55,6.14,42.32,56.32,Newark,103
320.44,9.94,53.64,1.97,6.06,7.75,Lynchburg,45
447.27,20.74,4.47,2.03,9.56,10.97,San Antonio,31
216.96,4.2,63.66,1.33,2.26,2.56,Birmingham,64
220.3,2.06,61.51,0.43,2.12,2.78,Ames,57
230.31,1.69,45.06,0.03,0.56,0.83,Santa Rosa,38
303.75,15.94,36.48,4.11,6.03,8.98,Vista,30
317.1,14.57,47.92,2.65,4.62,11.35,Paradise,40
280.38,11.31,27.54,2.56,3.61,6.57,Escondido,23
243.66,1.91,68.67,1.33,4.14,5.32,McAllen,80
727.65,50.04,11.62,15.97,18.86,23.64,Dearborn,62
447.27,20.91,49.35,1.52,15.68,19.01,Frederick,50
185.25,1.36,70.81,0.97,1.77,2.81,Boulder,86
841.14,80.2,16.09,30.99,52.86,64.17,Santa Ana,124
260.35,9.77,67.23,1.74,1.33,2.82,Los Angeles,75
220.3,2.74,64.37,0.91,3.59,5.98,Saint Joseph,66
410.56,17.65,15.56,0.73,10.48,15.81,Charlotte,34
223.64,1.91,95.84,0.72,4.01,20.26,Deerfield Beach,152
270.37,14.4,38.98,2.35,2.84,4.55,Tracy,33
287.06,10.71,29.33,2.53,1.8,2.51,Federal Way,24
290.39,15.42,55.79,2.3,4.1,11.19,Henderson,47
290.39,5.91,52.93,1.77,8.56,10.15,Duluth,44
260.35,5.14,14.31,0.24,1.69,2.4,Davis,12
267.03,5.83,55.79,1.16,4.48,4.57,Bloomington,47
307.08,11.31,16.45,0.97,2.88,3.39,Garland,14
